estimator,category,avg_error,overall_success_rate,avg_time,clean_success_rate,noise_success_rate,outliers_success_rate,trends_success_rate,accuracy_score,success_score,time_score,robustness_bonus,quality_score
CWT,wavelet,0.1478551670478026,100.0,0.00895658238728841,100.0,100.0,100.0,100.0,85.21448329521974,100.0,99.10434176127116,10.0,87.97289291180054
R/S,temporal,0.1559392759158968,100.0,0.08024929046630859,100.0,100.0,100.0,100.0,84.40607240841032,100.0,91.97507095336914,10.0,86.49929684721053
Wavelet Whittle,wavelet,0.14184269232466476,88.0,0.02729593551520145,100.0,100.0,100.0,100.0,85.81573076753352,88.0,97.27040644847986,10.0,84.39842635103875
DMA,temporal,0.1273062538742505,88.0,0.09994333801847516,100.0,100.0,100.0,100.0,87.26937461257495,88.0,90.00566619815248,10.0,84.03553723601036
Periodogram,spectral,0.16519195092112696,88.0,0.002771815386685458,100.0,100.0,100.0,100.0,83.4808049078873,88.0,99.72281846133146,10.0,83.59882522314336
DFA,temporal,0.11932451663421334,88.0,0.16533350438782662,100.0,100.0,100.0,100.0,88.06754833657867,88.0,83.46664956121734,10.0,83.45377160247193
Wavelet Log Variance,wavelet,0.29332158754386894,100.0,0.0024001426696777343,100.0,100.0,100.0,100.0,70.6678412456131,100.0,99.75998573303222,10.0,80.79791848276138
GPH,spectral,0.2528606881476324,88.0,0.0025507450103759766,100.0,100.0,100.0,100.0,74.71393118523676,88.0,99.7449254989624,10.0,79.21870441746273
Whittle,spectral,0.350872550887776,88.0,0.011934289065274325,100.0,100.0,100.0,100.0,64.9127449112224,88.0,98.80657109347257,10.0,74.17735811963209
Wavelet Variance,wavelet,0.43436458948058093,100.0,0.002414761861165365,100.0,100.0,100.0,100.0,56.563541051941904,100.0,99.75852381388346,10.0,73.74554909805347
Higuchi,temporal,0.45923230485809774,88.0,0.009895836223255504,100.0,100.0,100.0,100.0,54.076769514190225,88.0,99.01041637767445,10.0,68.78994721374627
MFDFA,multifractal,0.3863652609586866,100.0,0.8849111563364664,100.0,100.0,100.0,100.0,61.36347390413134,100.0,11.508884366353357,10.0,62.908069607018675
